(UTC)HistoryTradesWsData;Tipo;Moeda;Valor;Saldo após;Status
01/10/2021 18:13;Taxa de transação;SOL;-0,000084SOL(≈R$0.07);0,15952;Sucesso
01/10/2021 18:13;Compra(SOL/BRL);SOL;+0,028SOL(≈R$24.43);0,159604;Sucesso
01/10/2021 18:13;Compra(SOL/BRL);BRL;-R$ 24,44;60,56;Sucesso
01/10/2021 17:13;Taxa de transação;ADA;-0,00631ADA(≈R$0.07);10,740382;Sucesso
01/10/2021 17:13;Compra(ADA/BRL);ADA;+2,1031ADA(≈R$24.95);10,746692;Sucesso
01/10/2021 17:13;Compra(ADA/BRL);BRL;-R$ 25,00;85;Sucesso
01/10/2021 17:00;Depósito em Reais;BRL;R$ 110,00;110;Sucesso
25/09/2021 18:57;Taxa de transação;ETH;-0,00000869ETH(≈R$0.14);0,00895259;Sucesso
25/09/2021 18:57;Compra(ETH/BRL);ETH;+0,00289404ETH(≈R$45.17);0,00896128;Sucesso
25/09/2021 18:57;Compra(ETH/BRL);BRL;-R$ 45,55;0;Sucesso
22/09/2021 14:23;Taxa de transação;ADA;-0,006639ADA(≈R$0.07);8,643592;Sucesso
22/09/2021 14:23;Compra(ADA/BRL);ADA;+2,2128ADA(≈R$24.89);8,650231;Sucesso
22/09/2021 14:23;Compra(ADA/BRL);BRL;-R$ 25,00;45,55;Sucesso
22/09/2021 14:22;Taxa de transação;ETH;-0,00000476ETH(≈R$0.07);0,00606724;Sucesso
22/09/2021 14:22;Compra(ETH/BRL);ETH;+0,00158658ETH(≈R$24.94);0,006072;Sucesso
22/09/2021 14:22;Compra(ETH/BRL);BRL;-R$ 25,00;70,55;Sucesso
22/09/2021 14:22;Taxa de transação;SOL;-0,000105SOL(≈R$0.07);0,131604;Sucesso
22/09/2021 14:22;Compra(SOL/BRL);SOL;+0,035SOL(≈R$24.61);0,131709;Sucesso
22/09/2021 14:22;Compra(SOL/BRL);BRL;-R$ 24,62;95,55;Sucesso
22/09/2021 14:20;Depósito em Reais;BRL;R$ 100,00;120,17;Sucesso
21/09/2021 13:45;Taxa de transação;SOL;-0,000099SOL(≈R$0.07);0,096709;Sucesso
21/09/2021 13:45;Compra(SOL/BRL);SOL;+0,033SOL(≈R$24.97);0,096808;Sucesso
21/09/2021 13:45;Compra(SOL/BRL);BRL;-R$ 25,00;20,17;Sucesso
21/09/2021 13:44;Taxa de transação;ADA;-0,006451ADA(≈R$0.08);6,437431;Sucesso
21/09/2021 13:44;Compra(ADA/BRL);ADA;+2,1502ADA(≈R$25);6,443882;Sucesso
21/09/2021 13:44;Compra(ADA/BRL);BRL;-R$ 25,00;45,17;Sucesso
20/09/2021 16:37;Taxa de transação;ETH;-0,0000045ETH(≈R$0.08);0,00448542;Sucesso
20/09/2021 16:37;Compra(ETH/BRL);ETH;+0,00149934ETH(≈R$25);0,00448992;Sucesso
20/09/2021 16:37;Compra(ETH/BRL);BRL;-R$ 25,00;70,17;Sucesso
20/09/2021 16:28;Taxa de transação;SOL;-0,000096SOL(≈R$0.07);0,063808;Sucesso
20/09/2021 16:28;Compra(SOL/BRL);SOL;+0,032SOL(≈R$24.92);0,063904;Sucesso
20/09/2021 16:28;Compra(SOL/BRL);BRL;-R$ 24,96;95,17;Sucesso
20/09/2021 16:27;Taxa de transação;ADA;-0,006466ADA(≈R$0.08);4,293682;Sucesso
20/09/2021 16:27;Compra(ADA/BRL);ADA;+2,1551ADA(≈R$25);4,300148;Sucesso
20/09/2021 16:27;Compra(ADA/BRL);BRL;-R$ 25,00;120,13;Sucesso
20/09/2021 16:27;Taxa de transação;ETH;-0,0000045ETH(≈R$0.07);0,00299058;Sucesso
20/09/2021 16:27;Compra(ETH/BRL);ETH;+0,00149979ETH(≈R$24.89);0,00299508;Sucesso
20/09/2021 16:27;Compra(ETH/BRL);BRL;-R$ 25,00;145,13;Sucesso
20/09/2021 16:10;Depósito em Reais;BRL;R$ 120,08;170,13;Sucesso
20/09/2021 16:02;Investimento;BTC;-0,0013BTC(≈R$305.13);0,00009532;Sucesso
