HISTORY;TIPO;MOEDA;QTDE;SALDO_UNITARIO;STATUS;CUSTO_OPERACAO;COTACAO;SALDO_REAIS;PRECO_MEDIO;LUCRO/PREJUIZO
06/09/2021;compra;BCH;0,06346401;0,06346401;Sucesso;249,93;3938,137536534486;249,93;3938,137536534486;0,0
18/09/2021;venda;ETH;-0,01111797;0,01358865;Sucesso;201,32;18107,622164837645;246,05813993022107;47815,51674026511;-330,2914806527653
18/09/2021;venda;ADA;-8,7614;16,271303;Sucesso;109,97;12,551646997055265;204,2316514381263;5,486714708166609;61,89869775586907
19/09/2021;venda;ETH;-0,01358865;0,0;Sucesso;247,17;18189,4448675917;0,0;47815,51674026511;-402,5783215526036
19/09/2021;venda;ADA;-16,2713;3e-06;Sucesso;204,4;12,561995661071949;3,768598698321585e-05;5,486714708166609;115,12401896900866
19/09/2021;venda;BTC;-0,00139531;0,00139532;Sucesso;351,51;251922,5118432463;351,5125192251184;262173,92029394605;-14,303892725345918
20/09/2021;compra;ETH;0,00149979;0,00149979;Sucesso;25,0;16669,00032671241;25,000000000000004;-649,8425041706894;0,0
20/09/2021;compra;ADA;2,1515;2,151503;Sucesso;25,0;11,619800139437602;25,00003485940042;11,112608285282658;0,0
20/09/2021;compra;SOL;0,032;0,032;Sucesso;24,89;777,8125;24,89;777,8125;0,0
20/09/2021;venda;BTC;-0,0013;9,532e-05;Sucesso;305,13;234715,38461538462;22,373070461538465;262173,92029394605;-35,69609638212984
20/09/2021;compra;ETH;0,00149979;0,00299508;Sucesso;24,89;16595,656725274872;49,70531954473626;-1344,4382200660211;0,0
20/09/2021;compra;ADA;2,1551;4,300148;Sucesso;25,0;11,600389773096376;49,883392882000834;11,324780439974758;0,0
20/09/2021;compra;SOL;0,032;0,063904;Sucesso;24,92;778,75;49,76524;777,581875;0,0
20/09/2021;compra;ETH;0,00149934;0,00448992;Sucesso;25,0;16674,003228087025;74,8649405738525;-2110,5522785004428;0,0
21/09/2021;compra;ADA;2,1502;6,443882;Sucesso;25,0;11,62682541158962;74,92189098688495;11,429731653224245;0,0
21/09/2021;compra;SOL;0,033;0,096808;Sucesso;24,97;756,6666666666666;73,25138666666666;755,1689347079038;0,0
22/09/2021;compra;SOL;0,035;0,131709;Sucesso;24,61;703,1428571428571;92,61024257142856;701,5927467532466;0,0
22/09/2021;compra;ETH;0,00158658;0,006072;Sucesso;24,94;15719,346014698283;95,44786900124798;-2816,8052672409003;0,0
22/09/2021;compra;ADA;2,2128;8,650231;Sucesso;24,89;11,24819233550253;97,29946203452639;11,09736331058263;0,0
25/09/2021;compra;ETH;0,00289404;0,00896128;Sucesso;45,17;15607,939074788186;139,86711227211788;-4513,136582462452;0,0
01/10/2021;compra;ADA;2,1031;10,746692;Sucesso;24,95;11,863439684275592;127,49273234748702;11,727891190930558;0,0
01/10/2021;compra;SOL;0,028;0,159604;Sucesso;24,43;872,5;139,25449;870,3405625;0,0
05/10/2021;compra;SOL;0,027;0,18652;Sucesso;24,19;895,925925925926;167,1081037037037;893,6262230144583;0,0
06/10/2021;compra;ADA;3,0839;13,824282;Sucesso;36,1;11,705956743085055;161,82644709620936;11,596471973529493;0,0
19/10/2021;compra;ADA;3,8342;17,64923;Sucesso;45,0;11,736476970424079;207,13978144071774;11,644262265485285;0,0
19/10/2021;compra;SOL;0,063;0,249439;Sucesso;54,51;865,2380952380952;215,8241252380952;863,2965009523808;0,0
27/10/2021;venda;BTC;-9,532e-05;0,0;Sucesso;32,62;342215,6945027276;0,0;262173,92029394605;7,62958191758106
27/10/2021;venda;SOL;-0,136;0,11325;Sucesso;155,81;1145,6617647058822;129,74619485294116;863,2965009523808;38,4016758704762
27/10/2021;compra;BTC;0,00130462;0,00130462;Sucesso;445,12;341187,4722141313;445,12;343761,825694096;0,0
27/10/2021;venda;BTC;-0,00058707;0,00071755;Sucesso;200,3;341185,88924659754;244,81793482889606;343761,825694096;-1,5122550102329058
19/11/2021;compra;ADA;2,3613;19,999027;Sucesso;24,92;10,553508660483633;211,05990464574603;10,474281010493442;0,0
24/11/2021;compra;ETH;0,0010454;0,00999799;Sucesso;25,0;23914,291180409415;239,09484407882152;-7984,277015933887;0,0
